Year,Code,Constituency,PC_Electors,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %,Probability,Normalised population,Index
2017,E14000862,Northampton South,61766,East Midlands,C,Conservative,19231,46.87%,41034,C,1159,2.82%,0.364404879,1.166353657,0.850049926
2017,N06000007,Fermanagh and South Tyrone,70601,Northern Ireland,SF,Sinn Fein,25230,47.18%,53481,SF,875,1.64%,0.416283056,1.020396312,0.84954739
2017,S14000056,Rutherglen and Hamilton West,80098,Scotland,Lab,Labour,19101,37.55%,50872,Lab,265,0.52%,0.471663398,0.899410722,0.848438235
2017,S14000045,Midlothian,68328,Scotland,Lab,Labour,16458,36.35%,45273,Lab,885,1.95%,0.401685586,1.054340827,0.847027026
2017,E14000645,Colne Valley,84387,Yorkshire and The Humber,C,Conservative,27903,46.96%,59420,Lab,85,0.14%,0.49205306,0.853697844,0.840129274
2017,E14000535,Ashfield,78076,East Midlands,Lab,Labour,21285,42.58%,49993,Lab,441,0.88%,0.45296292,0.92270352,0.83590096
2017,E14000552,Bedford,71829,East,Lab,Labour,22712,46.85%,48480,Lab,789,1.63%,0.416685138,1.002951454,0.835829929
2017,E14000874,Oxford West and Abingdon,75574,South East,LD,Lib Dem,26256,43.75%,60020,LD,816,1.36%,0.429378517,0.953251118,0.818611104
2017,E14000607,Broxtowe,74013,East Midlands,C,Conservative,25983,46.81%,55508,C,863,1.55%,0.420093894,0.973356032,0.817801851
2017,E14000614,Calder Valley,79045,Yorkshire and The Humber,C,Conservative,26790,46.15%,58054,C,609,1.05%,0.444574429,0.911392245,0.810363375
2017,E14000580,Bolton West,72797,North West,C,Conservative,24459,47.91%,51054,C,936,1.83%,0.407187013,0.989614957,0.805916716
2017,E14000875,Pendle,64962,North West,C,Conservative,21986,49.02%,44854,C,1279,2.85%,0.363305126,1.108971399,0.805789986
2017,W07000044,Wrexham,49881,Wales,Lab,Labour,17153,48.88%,35092,Lab,1832,5.22%,0.278635655,1.444257332,0.804843176
2017,E14000761,Ipswich,75668,East,Lab,Labour,24224,47.48%,51016,Lab,831,1.63%,0.416618617,0.952066924,0.79329761
2017,N06000013,North Down,64334,Northern Ireland,Ind,Independent,16148,41.21%,39185,Ind,1208,3.08%,0.354012818,1.119796686,0.79284476
2017,E14000971,Stockton South,75625,North East,Lab,Labour,26102,48.50%,53824,Lab,888,1.65%,0.415643564,0.952608264,0.791890987
2017,S14000017,Dunfermline and West Fife,75672,Scotland,SNP,Scottish National Party,18121,35.52%,51010,SNP,844,1.65%,0.415422226,0.952016598,0.790977708
2017,S14000025,Edinburgh South West,71178,Scotland,SNP,Scottish National Party,17575,35.58%,49390,SNP,1097,2.22%,0.389882414,1.012124533,0.789219112
2017,S14000005,Argyll and Bute,67230,Scotland,SNP,Scottish National Party,17304,36.00%,48069,SNP,1328,2.76%,0.366935552,1.071560315,0.786387152
2017,E14000820,Middlesbrough South and East Cleveland,72336,North East,C,Conservative,23643,49.65%,47620,C,1020,2.14%,0.393353578,0.995921809,0.783498814
2017,E14000980,Stroud,82839,South West,Lab,Labour,29994,47.00%,63816,Lab,687,1.08%,0.44320679,0.869650768,0.77087025
2017,E14000825,Morecambe and Lunesdale,66818,North West,C,Conservative,21773,47.69%,45657,C,1399,3.06%,0.354753451,1.07816756,0.764967326
2017,E14000887,Putney,65031,London,C,Conservative,20679,44.10%,46894,C,1554,3.31%,0.344969545,1.107794744,0.764310898
2017,S14000010,Central Ayrshire,68999,Scotland,SNP,Scottish National Party,16771,37.20%,45087,SNP,1267,2.81%,0.364991608,1.044087595,0.762166421
2017,E14001019,Warwick and Leamington,74237,West Midlands,Lab,Labour,25227,46.67%,54055,Lab,1206,2.23%,0.389447579,0.970419063,0.75585471
2017,E14000621,Carshalton and Wallington,70849,London,LD,Lib Dem,20819,41.02%,50753,LD,1369,2.70%,0.369629746,1.016824514,0.751697174
2017,E14000876,Penistone and Stocksbridge,71293,Yorkshire and The Humber,Lab,Labour,22807,45.81%,49787,Lab,1322,2.66%,0.37137532,1.010491914,0.750543516
2017,E14000647,Copeland,61751,North West,C,Conservative,21062,49.06%,42927,C,1695,3.95%,0.32129797,1.166636978,0.749676185
2017,E14000741,Hendon,76522,London,C,Conservative,25078,48.03%,52215,C,1072,2.05%,0.397290007,0.941441677,0.748050741
2017,S14000009,"Caithness, Sutherland and Easter Ross",46868,Scotland,LD,Lib Dem,11061,35.79%,30901,LD,2044,6.61%,0.238355858,1.537104208,0.732755585
2017,E14000616,Camborne and Redruth,68419,South West,C,Conservative,23001,47.47%,48456,C,1577,3.25%,0.347270571,1.052938511,0.731309115
2017,E14000810,Mansfield,77811,East Midlands,C,Conservative,23392,46.64%,50157,C,1057,2.11%,0.394879724,0.92584596,0.731195595
2017,E14000884,Portsmouth South,69785,South East,Lab,Labour,18290,41.04%,44566,Lab,1554,3.49%,0.338345724,1.032327864,0.698567437
2017,E14000792,Lincoln,73111,East Midlands,Lab,Labour,23333,48.02%,48594,Lab,1538,3.16%,0.350769082,0.985364719,0.691270956
2017,E14000703,Finchley and Golders Green,73329,London,C,Conservative,24599,46.96%,52385,C,1657,3.16%,0.350842971,0.982435326,0.689361056
2017,S14000011,"Coatbridge, Chryston and Bellshill",71198,Scotland,Lab,Labour,19193,42.61%,45040,Lab,1586,3.52%,0.337046495,1.01184022,0.682074399
2017,E14000731,Harrow East,71755,London,C,Conservative,25129,49.42%,50845,C,1757,3.46%,0.339536298,1.003985785,0.681779234
2017,E14001051,Wolverhampton South West,59971,West Midlands,Lab,Labour,20889,49.34%,42336,Lab,2175,5.14%,0.281240809,1.201263944,0.675688886
2017,E14000684,Eastbourne,78754,South East,LD,Lib Dem,26924,46.89%,57420,LD,1609,2.80%,0.365317278,0.914759885,0.668355183
2017,S14000023,Edinburgh North and Leith,79473,Scotland,SNP,Scottish National Party,19243,34.03%,56552,SNP,1625,2.87%,0.362411534,0.906483963,0.657040487
2017,N06000003,Belfast South,66105,Northern Ireland,DUP,Democratic Unionist Party,13299,30.43%,43705,DUP,1996,4.57%,0.299797121,1.089796536,0.653435727
2017,E14000572,Blackpool North and Cleveleys,63967,North West,C,Conservative,20255,49.39%,41007,C,2023,4.93%,0.28774597,1.126221333,0.6481313
2017,E14000662,Derby North,69919,East Midlands,Lab,Labour,23622,48.53%,48672,Lab,2015,4.14%,0.314483901,1.030349404,0.6480566
2017,E14000922,"Sheffield, Hallam",73455,Yorkshire and The Humber,Lab,Labour,21881,38.41%,56970,Lab,2175,3.82%,0.326038225,0.980750119,0.639524055
2017,W07000060,Vale of Clwyd,56890,Wales,Lab,Labour,19423,50.21%,38684,Lab,2379,6.15%,0.251093959,1.26632097,0.635931091
2017,N06000002,Belfast North,68249,Northern Ireland,DUP,Democratic Unionist Party,21240,46.24%,45936,DUP,2081,4.53%,0.30103421,1.055561254,0.635520096
2017,S14000034,Glasgow South,69126,Scotland,SNP,Scottish National Party,18312,41.10%,44550,SNP,2027,4.55%,0.3003698,1.042169372,0.626072412
2017,W07000078,Vale of Glamorgan,73959,Wales,C,Conservative,25501,47.47%,53718,C,2190,4.08%,0.316714702,0.974066713,0.617002497
2017,E14000634,Chingford and Woodford Green,65958,London,C,Conservative,23076,49.14%,46961,C,2438,5.19%,0.279542798,1.092225356,0.610647463
2017,E14000748,High Peak,73248,East Midlands,Lab,Labour,26753,49.68%,53853,Lab,2322,4.31%,0.308491255,0.983521734,0.606815709
2017,E14001009,Wakefield,70340,Yorkshire and The Humber,Lab,Labour,22987,49.67%,46284,Lab,2176,4.70%,0.295317286,1.024182542,0.604917618
2017,E14000826,Morley and Outwood,76495,Yorkshire and The Humber,C,Conservative,26550,50.71%,52357,C,2104,4.02%,0.318788806,0.941773972,0.600454001
2017,S14000059,West Dunbartonshire,67602,Scotland,SNP,Scottish National Party,18890,42.85%,44083,SNP,2288,5.19%,0.279584521,1.065663738,0.595886172
2017,S14000053,Paisley and Renfrewshire South,61344,Scotland,SNP,Scottish National Party,16964,40.67%,41712,SNP,2541,6.09%,0.252731995,1.174377282,0.593605426
2017,E14000620,Carlisle,62294,North West,C,Conservative,21472,49.87%,43056,C,2599,6.04%,0.25430637,1.156467718,0.588194215
2017,E14000947,South Swindon,72372,South West,C,Conservative,24809,48.39%,51271,C,2464,4.81%,0.291883428,0.995426408,0.581096945
2017,E14000822,Milton Keynes South,92417,South East,C,Conservative,30652,47.53%,64486,C,1725,2.67%,0.370557336,0.779521084,0.577714512
2017,E14000821,Milton Keynes North,89207,South East,C,Conservative,30307,47.46%,63864,C,1915,3.00%,0.357369207,0.807571155,0.577202127
2017,S14000052,Paisley and Renfrewshire North,67436,Scotland,SNP,Scottish National Party,17455,37.45%,46615,SNP,2613,5.61%,0.266878372,1.068286968,0.570205373
2017,E14000549,Battersea,77574,London,Lab,Labour,25292,45.94%,55058,Lab,2416,4.39%,0.30586411,0.928674556,0.568096433
2017,E14000652,Crawley,73425,South East,C,Conservative,25426,50.58%,50273,C,2457,4.89%,0.2892319,0.981150834,0.56756024
2017,E14001052,Worcester,73893,West Midlands,C,Conservative,24713,48.08%,51405,C,2490,4.84%,0.290642148,0.974936733,0.566715413
2017,E14001021,Watford,86507,East,C,Conservative,26731,45.61%,58610,C,2092,3.57%,0.335237803,0.832776538,0.558356355
2017,N06000015,South Down,75685,Northern Ireland,SF,Sinn Fein,20328,39.94%,50893,SF,2446,4.81%,0.291872762,0.951853075,0.555639972
2017,S14000029,Glasgow Central,64346,Scotland,SNP,Scottish National Party,16096,44.73%,35984,SNP,2267,6.30%,0.246905484,1.119587853,0.552864762
2017,E14000630,Cheltenham,78878,South West,C,Conservative,26615,46.68%,57012,C,2569,4.51%,0.30184945,0.913321839,0.551371389
2017,E14000573,Blackpool South,58470,North West,Lab,Labour,17581,50.30%,34953,Lab,2523,7.22%,0.22277504,1.232101933,0.548963114
2017,S14000004,Angus,63840,Scotland,C,Conservative,18148,45.15%,40193,C,2644,6.58%,0.239329913,1.128461779,0.540149319
2017,S14000033,Glasgow North West,63773,Scotland,SNP,Scottish National Party,16508,42.50%,38844,SNP,2561,6.59%,0.238934093,1.129647343,0.539822525
2017,W07000066,Carmarthen West and South Pembrokeshire,58565,Wales,C,Conservative,19771,46.82%,42226,C,3110,7.37%,0.219140589,1.230103304,0.539131126
2017,E14000973,Stoke-on-Trent North,71558,West Midlands,Lab,Labour,21272,50.91%,41786,Lab,2359,5.65%,0.265687225,1.006749769,0.534961106
2017,S14000026,Edinburgh West,71500,Scotland,LD,Lib Dem,18108,34.30%,52795,LD,2988,5.66%,0.26526515,1.007566434,0.534544521
2017,S14000037,Gordon,78531,Scotland,C,Conservative,21861,40.72%,53685,C,2607,4.86%,0.290244692,0.917357477,0.532516276
2017,E14001018,Warrington South,85617,North West,Lab,Labour,29994,48.38%,61995,Lab,2549,4.11%,0.31548352,0.84143336,0.530916716
2017,E14000843,North East Derbyshire,72097,East Midlands,C,Conservative,24784,49.19%,50381,C,2861,5.68%,0.264698264,0.999223269,0.52898533
2017,E14000958,Southport,69400,North West,C,Conservative,18541,38.66%,47956,C,2914,6.08%,0.253167398,1.038054755,0.525603242
2017,E14000648,Corby,83020,East Midlands,C,Conservative,29534,49.23%,59997,C,2690,4.48%,0.302611455,0.867754758,0.52518506
2017,E14000716,Great Grimsby,61743,Yorkshire and The Humber,Lab,Labour,17545,49.39%,35521,Lab,2565,7.22%,0.22270479,1.166788138,0.519698615
2017,W07000046,Gower,62163,Wales,Lab,Labour,22727,49.87%,45576,Lab,3269,7.17%,0.223916454,1.158904815,0.518995714
2017,E14000890,Reading West,74523,South East,C,Conservative,25311,48.90%,51766,C,2876,5.56%,0.268368715,0.966694846,0.518861307
2017,S14000006,"Ayr, Carrick and Cumnock",71241,Scotland,C,Conservative,18550,40.13%,46222,C,2774,6.00%,0.255301022,1.011229489,0.516335844
2017,E14001011,Walsall North,67308,West Midlands,C,Conservative,18919,49.63%,38118,C,2601,6.82%,0.232844472,1.070318536,0.498435509
2017,S14000020,East Lothian,79093,Scotland,Lab,Labour,20158,36.08%,55878,Lab,3083,5.52%,0.269525191,0.910839139,0.490988185
2017,E14000848,North Norfolk,69271,East,LD,Lib Dem,25260,48.40%,52188,LD,3512,6.73%,0.23530964,1.039987874,0.489438345
2017,E14000902,Rossendale and Darwen,72486,North West,C,Conservative,25499,50.84%,50156,C,3216,6.41%,0.243828402,0.993860883,0.484663021
2017,W07000059,Clwyd West,58263,Wales,C,Conservative,19541,48.07%,40654,C,3437,8.45%,0.193975054,1.236479412,0.479692321
2017,E14000658,Darlington,66341,North East,Lab,Labour,22681,50.61%,44817,Lab,3280,7.32%,0.220284334,1.085919718,0.478422205
2017,E14000968,Stevenage,70765,East,C,Conservative,24798,50.27%,49329,C,3384,6.86%,0.231894181,1.018031513,0.472151168
2017,E14000639,Cities of London and Westminster,61533,London,C,Conservative,18005,46.58%,38654,C,3148,8.14%,0.20083322,1.170770156,0.470259081
2017,S14000050,Ochil and South Perthshire,76767,Scotland,C,Conservative,22469,41.48%,54168,C,3359,6.20%,0.249656843,0.938437089,0.468574482
2017,S14000043,Linlithgow and East Falkirk,86186,Scotland,SNP,Scottish National Party,20388,36.35%,56094,SNP,2919,5.20%,0.279160366,0.835878217,0.466688138
2017,N06000014,South Antrim,68244,Northern Ireland,DUP,Democratic Unionist Party,16508,38.24%,43170,DUP,3208,7.43%,0.217527748,1.055638591,0.459261372
2017,E14000666,Dewsbury,81343,Yorkshire and The Humber,Lab,Labour,28814,50.96%,56545,Lab,3321,5.87%,0.258995292,0.885644739,0.458755636
2017,E14000913,Scarborough and Whitby,73599,Yorkshire and The Humber,C,Conservative,24401,48.37%,50449,C,3435,6.81%,0.23322792,0.978831234,0.456581546
2017,E14001003,Truro and Falmouth,74683,South West,C,Conservative,25123,44.35%,56647,C,3792,6.69%,0.2362452,0.96462381,0.45577549
2017,S14000022,Edinburgh East,65896,Scotland,SNP,Scottish National Party,18509,42.53%,43523,SNP,3425,7.87%,0.207106889,1.093253005,0.452840457
2017,E14000914,Scunthorpe,61578,Yorkshire and The Humber,Lab,Labour,20916,52.03%,40202,Lab,3431,8.53%,0.192242031,1.16991458,0.44981351
2017,E14000889,Reading East,75537,South East,Lab,Labour,27093,49.05%,55238,Lab,3749,6.79%,0.233799689,0.953718045,0.445957965
2017,W07000067,Carmarthen East and Dinefwr,55976,Wales,PC,Plaid Cymru,16127,39.31%,41029,PC,3908,9.52%,0.172054527,1.286997999,0.442867663
2017,S14000036,Glenrothes,66378,Scotland,SNP,Scottish National Party,17291,42.80%,40399,SNP,3267,8.09%,0.202124271,1.085314411,0.438736768
2017,E14001024,Weaver Vale,69016,North West,Lab,Labour,26066,51.50%,50613,Lab,3928,7.76%,0.20964019,1.043830416,0.437657613
2017,W07000051,Cardiff North,67221,Wales,Lab,Labour,26081,50.13%,52022,Lab,4174,8.02%,0.203562464,1.071703783,0.436317325
2017,E14000770,Kingston and Surbiton,81588,London,LD,Lib Dem,27810,44.73%,62178,LD,4124,6.63%,0.237878525,0.882985243,0.420086455
2017,E14000578,Bolton North East,67233,North West,Lab,Labour,22870,50.62%,45183,Lab,3797,8.40%,0.195078989,1.071512501,0.418059151
2017,S14000048,North Ayrshire and Arran,73176,Scotland,SNP,Scottish National Party,18451,38.90%,47433,SNP,3633,7.66%,0.212040002,0.98448945,0.417502289
2017,E14001053,Workington,60265,North West,Lab,Labour,21317,51.15%,41676,Lab,3925,9.42%,0.174130388,1.195403634,0.416312197
2017,E14000692,"Enfield, Southgate",65210,London,Lab,Labour,24989,51.71%,48328,Lab,4355,9.01%,0.18224248,1.104753872,0.402666172
2017,S14000019,"East Kilbride, Strathaven and Lesmahagow",80442,Scotland,SNP,Scottish National Party,21023,38.86%,54102,SNP,3866,7.15%,0.224591408,0.895564506,0.402272187
2017,W07000042,Delyn,54090,Wales,Lab,Labour,20573,52.19%,39418,Lab,4240,10.76%,0.149886643,1.331872805,0.399259887
2017,E14000838,North Devon,75801,South West,C,Conservative,25517,45.81%,55705,C,4332,7.78%,0.209268864,0.950396433,0.397776764
2017,E14000903,Rother Valley,75230,Yorkshire and The Humber,Lab,Labour,23821,48.13%,49488,Lab,3882,7.84%,0.20768938,0.957609996,0.397770853
2017,S14000007,Banff and Buchan,67601,Scotland,C,Conservative,19976,47.97%,41643,C,3693,8.87%,0.185186891,1.065679502,0.394699747
2017,E14000702,Filton and Bradley Stoke,72483,South West,C,Conservative,25331,49.97%,50694,C,4182,8.25%,0.198475256,0.993902018,0.394529915
2017,E14000627,Cheadle,73406,North West,C,Conservative,24331,44.59%,54572,C,4507,8.26%,0.198268253,0.98140479,0.389162826
2017,S14000044,Livingston,81208,Scotland,SNP,Scottish National Party,21036,40.06%,52505,SNP,3878,7.39%,0.218629871,0.887117033,0.387900566
2017,S14000021,East Renfrewshire,70067,Scotland,C,Conservative,21496,40.00%,53738,C,4712,8.77%,0.187267775,1.028173034,0.385087353
2017,S14000046,Moray,70649,Scotland,C,Conservative,22637,47.55%,47605,C,4159,8.74%,0.187939978,1.019703039,0.383285933
2017,E14000611,Bury North,67580,North West,Lab,Labour,25683,53.61%,47903,Lab,4375,9.13%,0.179775285,1.066010654,0.383284738
2017,E14000780,Leeds North West,68152,Yorkshire and The Humber,Lab,Labour,20416,44.11%,46287,Lab,4224,9.13%,0.179923684,1.057063622,0.380381563
2017,E14000797,Loughborough,79607,East Midlands,C,Conservative,27022,49.90%,54148,C,4269,7.88%,0.206769771,0.904958107,0.374235961
2017,E14000925,Shipley,73133,Yorkshire and The Humber,C,Conservative,27417,51.35%,53395,C,4681,8.77%,0.18730408,0.9850683,0.369014623
2017,E14000710,Gedling,71223,East Midlands,Lab,Labour,26833,51.92%,51682,Lab,4694,9.08%,0.18079647,1.011485054,0.365745854
2017,W07000062,Clwyd South,53729,Wales,Lab,Labour,19002,50.71%,37474,Lab,4356,11.62%,0.136007965,1.34082153,0.364724816
2017,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",66554,Scotland,SNP,Scottish National Party,19122,43.62%,43833,SNP,4264,9.73%,0.168189458,1.082444331,0.36411145
2017,E14000600,Bristol North West,75434,South West,Lab,Labour,27400,50.65%,54096,Lab,4761,8.80%,0.18658629,0.955020283,0.356387383
2017,E14000695,Erewash,72995,East Midlands,C,Conservative,25939,52.11%,49781,C,4534,9.11%,0.180282332,0.986930612,0.355852303
2017,W07000073,Bridgend,62185,Wales,Lab,Labour,21913,50.66%,43255,Lab,4700,10.87%,0.148063163,1.158494814,0.343060814
2017,S14000018,East Dunbartonshire,66300,Scotland,LD,Lib Dem,21023,40.58%,51801,LD,5339,10.31%,0.157630235,1.086591252,0.342559269
2017,E14000972,Stoke-on-Trent Central,56915,West Midlands,Lab,Labour,17083,51.54%,33145,Lab,3897,11.76%,0.133991451,1.265764737,0.339203307
2017,S14000002,Aberdeen South,64964,Scotland,C,Conservative,18746,42.14%,44483,C,4752,10.68%,0.151130248,1.108937258,0.335187925
2017,S14000039,"Inverness, Nairn, Badenoch and Strathspey",76844,Scotland,SNP,Scottish National Party,21042,39.85%,52801,SNP,4924,9.33%,0.175940001,0.937496747,0.329886356
2017,E14000868,Nuneaton,69201,West Midlands,C,Conservative,23755,51.57%,46067,C,4739,10.29%,0.157975945,1.041039869,0.328918514
2017,S14000001,Aberdeen North,62130,Scotland,SNP,Scottish National Party,15170,41.27%,36757,SNP,4139,11.26%,0.141661272,1.159520361,0.328518258
2017,E14001044,Wirral West,55995,North West,Lab,Labour,23866,54.30%,43951,Lab,5365,12.21%,0.127414967,1.2865613,0.327854331
2017,E14000657,Dagenham and Rainham,70616,London,Lab,Labour,22958,50.08%,45843,Lab,4652,10.15%,0.160463767,1.020179563,0.327403712
2017,E14000786,Lewes,70941,South East,C,Conservative,26820,49.49%,54192,C,5508,10.16%,0.160173175,1.015505843,0.32531359
2017,E14000682,East Worthing and Shoreham,75525,South East,C,Conservative,25988,48.93%,53117,C,5106,9.61%,0.170371446,0.95386958,0.325024279
2017,E14000546,Bassetlaw,78540,East Midlands,Lab,Labour,27467,52.57%,52250,Lab,4852,9.29%,0.176719224,0.917252355,0.324192248
2017,E14000924,Sherwood,76196,East Midlands,C,Conservative,27492,51.52%,53364,C,5198,9.74%,0.167948166,0.945469578,0.317579763
2017,E14001040,Wimbledon,66780,London,C,Conservative,23946,46.51%,51481,C,5622,10.92%,0.147158217,1.078781072,0.317502998
2017,S14000028,Falkirk,82240,Scotland,SNP,Scottish National Party,20952,38.94%,53809,SNP,4923,9.15%,0.179453669,0.875984922,0.314397416
2017,W07000043,Alyn and Deeside,63013,Wales,Lab,Labour,23315,52.09%,44760,Lab,5235,11.70%,0.134920879,1.143272023,0.308502533
2017,E14001007,Uxbridge and South Ruislip,69936,London,C,Conservative,23716,50.79%,46694,C,5034,10.78%,0.149478911,1.030098948,0.307956138
2017,E14000565,"Birmingham, Northfield",72322,West Midlands,Lab,Labour,23596,53.21%,44348,Lab,4667,10.52%,0.153848207,0.996114599,0.306500889
2017,E14000879,"Plymouth, Moor View",69342,South West,C,Conservative,23567,51.89%,45417,C,5019,11.05%,0.145024712,1.038923019,0.301339023
2017,E14000547,Bath,66778,South West,LD,Lib Dem,23436,47.27%,49582,LD,5694,11.48%,0.138158198,1.078813382,0.298093826
2017,E14000960,St Albans,72811,East,C,Conservative,24571,43.11%,56998,C,6109,10.72%,0.150535821,0.989424675,0.297887711
2017,E14000654,Croydon Central,80045,London,Lab,Labour,29873,52.33%,57091,Lab,5652,9.90%,0.164977626,0.900006246,0.296961788
2017,E14000723,Halifax,71224,Yorkshire and The Humber,Lab,Labour,25507,52.84%,48276,Lab,5376,11.14%,0.143649982,1.011470853,0.29059554
2017,E14001049,Wolverhampton North East,60770,West Midlands,Lab,Labour,19282,52.82%,36508,Lab,4587,12.56%,0.122412773,1.185469804,0.290233292
2017,S14000013,Dumfries and Galloway,74206,Scotland,C,Conservative,22344,43.30%,51599,C,5643,10.94%,0.146899276,0.970824462,0.28522682
